頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
漢字,理研ﾕﾆｿﾞﾝ水和剤,23429,,殺菌剤,ﾍﾟﾝﾁｵﾋﾟﾗﾄﾞ,7,ﾏﾝｾﾞﾌﾞ,"UN(I*), M3(F*)",,,,,,
エ,ｴﾄﾌｨﾝﾌﾛｱﾌﾞﾙ,23435,,殺菌剤,ｴﾀﾎﾞｷｻﾑ,22,,,,,,,,
漢字,日曹ｴﾄﾌｨﾝﾌﾛｱﾌﾞﾙ,23436,,殺菌剤,ｴﾀﾎﾞｷｻﾑ,22,,,,,,,,
サ,ｻﾞﾝﾌﾟﾛﾌﾛｱﾌﾞﾙ,23454,,殺菌剤,ｱﾒﾄｸﾄﾗｼﾞﾝ,45,,,,,,,,
サ,ｻﾞﾝﾌﾟﾛDMﾌﾛｱﾌﾞﾙ,23455,,殺菌剤,ｱﾒﾄｸﾄﾗｼﾞﾝ,45,ｼﾞﾒﾄﾓﾙﾌ,40,,,,,,
エ,ｴﾊﾞｰｺﾞﾙ箱粒剤,23456,,殺菌剤,ﾍﾟﾝﾌﾙﾌｪﾝ,7,,,,,,,,
エ,ｴﾒｽﾄﾌﾟﾗｲﾑﾌﾛｱﾌﾞﾙ,23457,,殺菌剤,ﾍﾟﾝﾌﾙﾌｪﾝ,7,,,,,,,,
サ,ｻﾞﾝﾌﾟﾛﾀｰﾌ,23462,,殺菌剤,ｱﾒﾄｸﾄﾗｼﾞﾝ,45,,,,,,,,
漢字,協友ﾄﾘﾌﾐﾝ乳剤,23468,,殺菌剤,ﾄﾘﾌﾙﾐｿﾞｰﾙ,3,,,,,,,,
イ,ｲﾝﾌﾟﾚｯｼｮﾝｸﾘｱ,23473,,殺菌剤,ﾊﾞﾁﾙｽ ｱﾐﾛﾘｸｴﾌｧｼｴﾝｽ,BM2,,,,,,,,
ハ,ﾊﾞｽｱﾐﾄﾞ微粒剤,23478,,殺菌剤,ﾀﾞｿﾞﾒｯﾄ,"8F(I*),「-」(F*),「-」(H*)",,,,,,,,
ク,ｸﾐｱｲｶﾞｽﾀｰﾄﾞ微粒剤,23479,,殺菌剤,ﾀﾞｿﾞﾒｯﾄ,"8F(I*),「-」(F*),「-」(H*)",,,,,,,,
オ,ｵﾙﾊﾟ顆粒水和剤,23482,,殺菌剤,ﾋﾟﾘﾍﾞﾝｶﾙﾌﾞ,11,ﾒﾊﾟﾆﾋﾟﾘﾑ,9,,,,,,
漢字,日曹ｵﾙﾊﾟ顆粒水和剤,23483,,殺菌剤,ﾋﾟﾘﾍﾞﾝｶﾙﾌﾞ,11,ﾒﾊﾟﾆﾋﾟﾘﾑ,9,,,,,,
漢字,協友ﾄﾘﾌﾐﾝ水和剤,23498,,殺菌剤,ﾄﾘﾌﾙﾐｿﾞｰﾙ,3,,,,,,,,
リ,ﾘﾍﾞﾛ水和剤,23500,,殺菌剤,ﾒﾄｺﾅｿﾞｰﾙ,3,,,,,,,,
キ,ｷﾉﾝﾄﾞｰ顆粒水和剤,23522,,殺菌剤,有機銅,M1,,,,,,,,
漢字,協友ｽﾎﾟﾙﾀｯｸ乳剤,23524,,殺菌剤,ﾌﾟﾛｸﾛﾗｽﾞ,3,,,,,,,,
ク,ｸﾛｽﾃｸﾄ水和剤,23529,,殺菌剤,ﾏﾝｾﾞﾌﾞ,"UN(I*), M3(F*)",ﾐｸﾛﾌﾞﾀﾆﾙ,3,,,,,,
シ,ｼﾞｵｾﾞｯﾄ水和剤,23575,,殺菌剤,ﾎﾟﾘｵｷｼﾝD亜鉛塩,"「-」(I*),19(F*)",,,,,,,,
ハ,ﾊﾟﾙﾐﾉ,23587,,殺菌剤,ｷﾉｷｻﾘﾝ系,"UN(I*), M10(F*)",,,,,,,,
フ,ﾌﾚﾝﾀﾞｰﾌﾛｱﾌﾞﾙ,23592,,殺菌剤,ﾌﾙﾁｱﾆﾙ,U13,TPN,M5,,,,,,
S,SDSﾌﾚﾝﾀﾞｰﾌﾛｱﾌﾞﾙ,23593,,殺菌剤,ﾌﾙﾁｱﾆﾙ,U13,TPN,M5,,,,,,
シ,ｼｮｳﾁﾉｽｹﾌﾛｱﾌﾞﾙ,23594,,殺菌剤,ﾌﾙﾁｱﾆﾙ,U13,ﾒﾊﾟﾆﾋﾟﾘﾑ,9,,,,,,
チ,ﾁｯﾊﾟｰ乳剤,23601,,殺菌剤,ﾐｸﾛﾌﾞﾀﾆﾙ,3,,,,,,,,
カ,ｶﾌﾞﾘｵ乳剤,23617,,殺菌剤,ﾋﾟﾗｸﾛｽﾄﾛﾋﾞﾝ,11,,,,,,,,
漢字,協友ﾓﾝｾﾚﾝ粉剤DL,23619,,殺菌剤,ﾍﾟﾝｼｸﾛﾝ,20,,,,,,,,
テ,ﾃﾌﾟﾛｽﾌﾛｱﾌﾞﾙ,23630,,殺菌剤,ﾃﾌﾞﾌﾛｷﾝ,U16,,,,,,,,
ク,ｸﾐｱｲﾃﾌﾟﾛｽﾌﾛｱﾌﾞﾙ,23631,,殺菌剤,ﾃﾌﾞﾌﾛｷﾝ,U16,,,,,,,,
シ,ｼｬﾌﾄ10顆粒水和剤,23632,,殺菌剤,ﾃﾌﾞﾌﾛｷﾝ,U16,,,,,,,,
