selected_crop_id,match_crop_id
209,45798
209,46953
209,47803
209,50380
209,51009
209,53761
209,58625
209,122969
209,127021
209,130106
209,137882
209,145249
209,150956
209,153734
209,155091
209,26494
209,40068
209,55006
211,211
211,23828
211,119234
211,1085
211,7574
211,11879
211,12765
211,22226
211,23659
211,24100
211,24738
211,30585
211,30908
211,32530
211,33857
211,35643
211,39273
211,45798
211,46953
211,51009
211,58625
211,122969
211,127021
211,130106
211,137882
211,145249
211,150956
211,153734
211,155091
211,26494
211,40068
211,55006
219,219
219,5424
219,30735
219,147331
219,1085
219,7574
219,11879
219,12765
219,22226
219,23659
219,24100
219,24738
219,25992
219,30585
219,30908
219,31923
219,32530
219,33857
219,35643
219,39273
219,41949
219,45798
219,46953
219,47803
219,50380
219,51009
219,53761
219,58625
219,122969
219,127021
219,130106
219,137882
219,145249
219,150956
219,153734
219,155091
219,26494
219,40068
219,55006
225,225
225,17289
225,42584
225,1087
225,1085
225,7574
225,11879
225,12765
225,16800
225,22226
225,23659
225,24100
225,24738
225,25992
225,30585
225,30908
225,31836
225,32530
225,33857
225,35643
225,39273
225,45798
225,46953
225,47803
225,50380
225,51009
225,58625
225,122969
225,127021
225,130106
225,137882
225,145249
225,150956
225,153734
225,155091
225,26494
225,40068
225,46812
225,55006
233,233
233,6260
233,1087
233,1085
233,7574
233,11879
233,12765
233,16800
233,22226
233,23659
233,24100
233,24738
233,25992
233,26019
233,30585
233,30908
233,31836
233,31923
233,32530
233,33857
233,35643
233,39273
233,41949
233,45798
233,46953
233,47803
233,50380
233,51009
233,53761
233,58625
233,122969
233,127021
233,130106
233,137882
233,145249
233,150956
233,153734
233,155091
233,26494
233,40068
233,46812
233,55006
239,239
239,246
239,27456
239,1087
239,1085
239,7574
239,11879
239,12765
239,22226
239,23659
239,24100
239,24738
239,25992
239,26019
239,30585
239,30908
239,31923
239,32530
239,33857
239,35643
239,39273
239,41949
239,45798
239,46953
239,47803
239,50380
239,51009
239,53761
239,58625
239,122969
239,127021
239,130106
239,137882
239,145249
239,150956
239,153734
239,155091
239,26494
239,40068
239,46812
239,55006
253,253
253,17062
253,1087
253,1085
253,7574
253,11879
253,12765
253,16800
253,17061
253,22226
253,23659
253,24100
253,24738
253,25992
253,26019
253,30585
253,30908
253,31836
253,31923
253,32530
253,33857
253,35643
253,39273
253,41949
253,45798
253,46953
253,47803
253,50380
253,51009
253,58625
253,122969
253,127021
253,130106
253,137882
253,145249
253,150956
253,153734
253,155091
253,26494
253,40068
253,46812
253,55006
261,261
261,4593
261,124068
261,140105
261,1085
261,7574
261,11879
261,12765
261,23659
261,24100
261,24738
261,30585
261,30908
261,32530
261,33857
261,35643
261,39273
261,45798
261,46953
261,51009
261,58625
261,122969
261,127021
261,130106
261,137882
261,142720
261,145249
261,145423
261,150956
261,155091
261,158392
261,26494
261,40068
261,55006
269,269
269,4605
269,31888
269,140105
269,1085
269,7574
269,11879
269,12765
269,16800
269,23659
269,24100
269,24738
269,25992
269,30585
269,30908
269,31923
269,32530
269,33857
269,35643
269,39273
269,41949
269,45798
269,46953
269,47803
269,50380
269,51009
269,53761
269,58625
269,122969
269,127021
269,130106
269,137882
269,142720
269,145249
269,145423
269,150956
269,153734
269,155091
269,158392
269,26494
269,40068
269,55006
277,277
277,4599
277,140105
277,1085
277,7574
277,11879
277,12765
277,16800
277,23659
277,24100
277,24738
277,25992
277,30585
277,30908
277,31923
277,32530
277,33857
277,35643
277,39273
277,41949
277,45798
277,46953
277,47803
277,50380
277,51009
277,53761
277,58625
277,122969
277,127021
277,130106
277,137882
277,142720
277,145249
277,145423
277,150956
277,153734
277,155091
277,158392
277,26494
277,40068
277,55006
285,285
285,4610
285,5431
285,14575
285,14606
285,17072
285,17073
285,17074
285,26443
285,45734
285,140105
285,1085
285,7574
285,11879
285,12765
285,22226
285,23659
285,24100
285,24738
285,30585
285,32530
285,33857
285,35643
285,39273
285,45798
285,46953
285,51009
285,58625
285,122969
285,127021
285,130106
285,137882
285,142720
285,145249
285,145423
285,150956
285,153734
285,155091
285,158392
285,26494
285,40068
285,55006
292,292
292,1087
292,1085
292,7574
292,11879
292,12765
292,16800
292,22226
292,23659
292,24100
292,24738
292,25992
292,26019
292,30585
292,30908
292,31836
292,31923
292,32530
292,33857
292,35643
292,39273
292,41949
292,45798
292,46953
292,47803
292,50380
292,51009
292,53761
292,58625
292,122969
292,127021
292,130106
292,137882
292,145249
292,150956
292,153734
292,155091
292,26494
292,40068
292,46812
292,55006
301,301
301,1085
301,7574
301,11879
301,22226
301,23659
301,24100
301,24738
301,25992
301,30585
301,30908
301,31923
301,32530
301,33857
301,35643
301,39273
301,41949
301,45798
301,46953
301,47803
301,50380
301,51009
301,53761
301,122969
301,127021
301,130106
301,137882
301,145249
301,150956
301,153734
301,155091
301,26494
301,40068
301,55006
303,303
303,140105
303,1085
303,7574
303,11879
303,12765
303,22226
303,23659
303,24100
303,24738
303,25992
303,30585
303,30908
303,31923
303,32530
303,33857
303,35643
303,39273
303,41949
303,45798
303,46953
303,50380
303,51009
303,53761
303,58625
303,122969
303,127021
303,130106
303,137882
303,142720
303,145249
303,150956
303,153734
303,155091
303,158392
303,26494
303,40068
303,55006
305,305
321,321
321,11970
321,1085
321,314
321,1948
321,1960
321,3361
321,7375
321,7399
321,7574
321,11490
321,11879
321,12688
321,12765
321,15284
321,16800
321,18541
321,19218
321,19563
321,19820
321,22083
321,22226
321,22555
321,23659
321,24100
321,24738
321,25992
321,27462
321,28216
321,30585
321,30908
321,31923
321,32530
321,33857
321,34049
321,35172
321,35643
321,37876
321,39273
321,41949
321,44391
321,44672
321,45798
321,46953
321,47803
321,50133
321,50380
321,51009
321,51977
321,53761
321,54544
321,58625
321,118638
321,121181
321,122969
321,127021
321,128065
321,130106
321,131057
321,132566
321,136684
321,137882
321,139978
321,140697
321,145249
321,147462
321,149176
321,150759
321,150956
321,153734
321,155091
321,671
321,1086
321,26494
321,30721
321,40068
321,55006
331,331
331,5418
331,11970
331,1085
331,307
331,1948
331,1960
331,3361
331,4230
331,7375
331,7574
331,11490
331,11879
331,12688
331,12765
331,16800
331,18541
331,19563
331,19820
331,22083
331,22226
331,22555
331,23659
331,24100
331,24738
331,25992
331,30585
331,30908
331,31923
331,32530
331,33857
331,34049
331,35172
331,35643
331,39273
331,39564
331,41949
331,44391
331,44672
331,45798
331,46953
331,47803
331,50133
331,50380
331,51009
331,51977
331,53761
331,54544
331,58625
331,118638
331,122969
331,127021
331,127200
331,130106
331,137882
331,140697
331,145249
331,147462
331,149176
331,150758
